numDF,denDF,F-value,p-value,predictor
1,25989,2675.45794303322,0,(Intercept)
1,25989,8689.021866111458,0,fe_ox
4,11060,62.44910368290699,0,HLZ_moist
3,25989,6307.677321487289,0,depth_cat
4,25989,79.20440876702051,0,fe_ox:HLZ_moist
3,25989,35.121363838404115,0,fe_ox:depth_cat
12,25989,58.60277668653296,0,HLZ_moist:depth_cat
12,25989,15.11026737799778,0,fe_ox:HLZ_moist:depth_cat
