numDF,denDF,F-value,p-value,predictor
1,25964,5174.160300848814,0,(Intercept)
1,25964,11211.8879349746,0,al_fe_ox
5,11050,30.489711921859215,0,HLZ_temp
3,25964,4054.346254047283,0,depth_cat
5,25964,15.29353923845654,4.884981308350689e-15,al_fe_ox:HLZ_temp
3,25964,93.11333437891055,0,al_fe_ox:depth_cat
15,25964,8.806065789303014,0,HLZ_temp:depth_cat
15,25964,9.358773427268845,0,al_fe_ox:HLZ_temp:depth_cat
