numDF,denDF,F-value,p-value,predictor
1,25638,5272.136076953639,0,(Intercept)
1,25638,12673.2718700948,0,al_fe_ox
24,10700,39.185593397621005,0,HLZ_new
3,25638,4686.609970028679,0,depth_cat
24,25638,21.502505087376463,0,al_fe_ox:HLZ_new
3,25638,69.15202786574112,0,al_fe_ox:depth_cat
72,25638,13.669330903819649,0,HLZ_new:depth_cat
72,25638,5.320184066257764,0,al_fe_ox:HLZ_new:depth_cat
