numDF,denDF,F-value,p-value,predictor
1,25982,2431.0008819781997,0,(Intercept)
1,25982,9824.737948139249,0,al_ox
5,11059,103.6325314245154,0,HLZ_temp
3,25982,6939.309141987626,0,depth_cat
5,25982,11.465579868378134,4.452804791554854e-11,al_ox:HLZ_temp
3,25982,59.451083739785695,0,al_ox:depth_cat
15,25982,10.765462084534663,0,HLZ_temp:depth_cat
15,25982,6.837326381965449,4.6629367034256575e-15,al_ox:HLZ_temp:depth_cat
