numDF,denDF,F-value,p-value,predictor
1,25982,2496.240196931227,0,(Intercept)
1,25982,11264.591098604416,0,al_fe_ox
5,11059,55.274528766306254,0,HLZ_temp
3,25982,6830.03394172933,0,depth_cat
5,25982,7.388375901625845,6.221159949415522e-7,al_fe_ox:HLZ_temp
3,25982,37.79300969633038,0,al_fe_ox:depth_cat
15,25982,12.097042047445484,0,HLZ_temp:depth_cat
15,25982,10.447214603594398,0,al_fe_ox:HLZ_temp:depth_cat
